                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5413,                 3.7142,                  1.476,                0.89783,                0.24258,                 0.3468,                 0.2155,                 1.2992,                 3.4461,                 1.2454,             0.00027492,             0.00027492,             0.00027492
                      1,                 1.4068,                 2.6086,                 1.3416,                 0.6242,                0.40238,                0.50129,                0.30348,                  1.201,                 2.4448,                 1.2394,              0.0005307,              0.0005307,              0.0005307
                      2,                 1.3401,                 2.2902,                 1.3235,                 0.6196,                0.65388,                0.61962,                0.34522,                 1.3478,                 2.2935,                  1.327,             0.00076449,             0.00076449,             0.00076449
                      3,                 1.3003,                 1.9596,                 1.2877,                0.70524,                0.66716,                0.72384,                 0.4393,                 1.2136,                 1.9652,                 1.2326,             0.00073404,             0.00073404,             0.00073404
                      4,                  1.274,                 1.7416,                 1.2701,                0.69671,                0.84449,                0.81729,                0.46233,                 1.3139,                 1.7352,                 1.2784,             0.00073404,             0.00073404,             0.00073404
                      5,                  1.251,                 1.5368,                 1.2497,                0.81344,                0.75574,                0.78589,                 0.4917,                 1.2328,                 1.5283,                 1.2561,             0.00070105,             0.00070105,             0.00070105
                      6,                 1.2356,                   1.43,                 1.2413,                0.70576,                0.82874,                0.79343,                0.44927,                 1.1965,                 1.4492,                 1.2343,             0.00066807,             0.00066807,             0.00066807
                      7,                 1.1832,                 1.2677,                 1.2014,                0.84659,                0.79894,                0.86792,                 0.5585,                 1.1661,                 1.2322,                 1.2035,             0.00063508,             0.00063508,             0.00063508
                      8,                 1.1445,                 1.1592,                  1.173,                0.77344,                0.84602,                0.84062,                0.51421,                 1.2078,                 1.1774,                 1.2131,             0.00060209,             0.00060209,             0.00060209
                      9,                 1.1076,                 1.1051,                  1.172,                0.79626,                0.86707,                0.88368,                0.54512,                 1.3088,                 1.1274,                 1.2568,             0.00056911,             0.00056911,             0.00056911
                     10,                 1.1061,                   1.03,                 1.1604,                0.79201,                0.89445,                0.85265,                0.53369,                 1.1787,                 1.0665,                 1.2309,             0.00053612,             0.00053612,             0.00053612
                     11,                 1.0736,                 0.9558,                 1.1434,                0.81492,                0.84041,                0.84001,                0.54425,                 1.1424,                0.98926,                 1.1974,             0.00050313,             0.00050313,             0.00050313
                     12,                 1.0411,                0.92476,                 1.1304,                0.84345,                0.83933,                0.90386,                0.54983,                 1.1477,                0.92802,                 1.2047,             0.00047015,             0.00047015,             0.00047015
                     13,                 1.0382,                0.90153,                 1.1314,                0.80716,                0.91928,                0.89502,                0.54303,                 1.1377,                0.91697,                 1.1866,             0.00043716,             0.00043716,             0.00043716
                     14,                0.98531,                0.83312,                 1.0984,                0.83766,                0.87673,                0.90948,                0.59651,                 1.0845,                0.87428,                  1.159,             0.00040417,             0.00040417,             0.00040417
                     15,                0.97401,                0.80967,                 1.0899,                0.87377,                0.92443,                0.94366,                0.59148,                 1.1238,                0.81056,                 1.1823,             0.00037118,             0.00037118,             0.00037118
                     16,                0.94178,                0.75392,                 1.0791,                0.88527,                0.91106,                0.92939,                0.58535,                 1.0889,                0.79563,                 1.1657,              0.0003382,              0.0003382,              0.0003382
                     17,                0.90691,                0.72633,                 1.0604,                0.87051,                0.89702,                0.91553,                0.59575,                 1.1002,                0.80249,                  1.177,             0.00030521,             0.00030521,             0.00030521
                     18,                0.89465,                 0.7112,                 1.0609,                 0.8212,                0.91744,                0.88633,                0.56648,                 1.0699,                0.78164,                 1.1608,             0.00027222,             0.00027222,             0.00027222
                     19,                0.87257,                0.66377,                 1.0405,                0.91714,                0.85311,                0.90456,                0.60188,                 1.0731,                0.77385,                 1.1479,             0.00023924,             0.00023924,             0.00023924
                     20,                0.85805,                0.65362,                 1.0307,                0.89786,                0.87492,                0.92182,                0.59898,                 1.0975,                0.76534,                 1.1674,             0.00020625,             0.00020625,             0.00020625
                     21,                0.84106,                0.62808,                 1.0265,                0.85896,                  0.905,                0.89688,                0.58484,                 1.0894,                0.77424,                 1.1804,             0.00017326,             0.00017326,             0.00017326
                     22,                0.82666,                0.63143,                 1.0237,                0.95752,                0.82223,                0.94383,                0.62945,                 1.0879,                0.72515,                 1.1661,             0.00014028,             0.00014028,             0.00014028
                     23,                0.79049,                0.60871,                 1.0066,                0.88157,                0.91058,                0.91775,                 0.6051,                 1.1037,                  0.735,                 1.1779,             0.00010729,             0.00010729,             0.00010729
                     24,                0.78605,                0.59304,                 1.0018,                0.88457,                0.91517,                0.94903,                0.60308,                 1.0925,                0.71083,                 1.1712,             7.4304e-05,             7.4304e-05,             7.4304e-05
